#,POND,STOPWORDS,STEMMING,ALGORITMO,Accuracy,Precision,Recall,F1-Score
1,TO,False,False,Regresion logistica,0.9274375831471268,0.9283563049105517,0.9308679125752297,0.9295671775526557
1,TO,False,False,Arboles de decision,0.8933143252005218,0.89671969642369,0.8962866401890792,0.89630135560522
1,TO,False,False,K Vecinos,0.6910885654133784,0.6723823987894902,0.77970078701786,0.7216672461114231
1,TO,False,False,SVM,0.9243851956137066,0.9268441472221053,0.9263212397358739,0.9264870340806984
2,TO,True,False,Regresion logistica,0.9215129870968575,0.9227246492665223,0.9249396944518896,0.9237486263371422
2,TO,True,False,Arboles de decision,0.8895428361081331,0.8962452228164428,0.8882507736166273,0.8921105802666676
2,TO,True,False,K Vecinos,0.6120648902780828,0.5765659499626609,0.9266781998489314,0.710805005272463
2,TO,True,False,SVM,0.9181015331361483,0.9240665136151417,0.916210618649643,0.9200260664414894
3,TO,False,True,Regresion logistica,0.923666739857665,0.9279333111066741,0.9235301284081773,0.9256059928777857
3,TO,False,True,Arboles de decision,0.8899093292690804,0.8879908081921679,0.8997941083306937,0.8937203452089895
3,TO,False,True,K Vecinos,0.6980926210557586,0.6818452942649962,0.7744657781243147,0.7250252115629794
3,TO,False,True,SVM,0.9188186972863361,0.9260603548380631,0.9154954801296264,0.9205821293847525
4,TO,True,True,Regresion logistica,0.9164821822972502,0.9212840289981032,0.9161996540045321,0.9186384426250187
4,TO,True,True,Arboles de decision,0.8888234116477015,0.8943908261915988,0.8893094710167879,0.8917021254455436
4,TO,True,True,K Vecinos,0.6318209705126383,0.5929599923330798,0.9078068273190224,0.7172876272473527
4,TO,True,True,SVM,0.9134307634682199,0.9210492583998799,0.9099047294169245,0.9153380224033947
5,TF-IDF,False,False,Regresion logistica,0.8731988556372137,0.8636999445587108,0.8952657098998562,0.8789924000793379
5,TF-IDF,False,False,Arboles de decision,0.8864888340673959,0.8890105655088696,0.890711727297093,0.8897521627731635
5,TF-IDF,False,False,K Vecinos,0.7893281066349792,0.7426611287190736,0.9043212884676299,0.8153621280802499
5,TF-IDF,False,False,SVM,0.9209737416529972,0.9140469237409672,0.9343729441290417,0.9239946578904339
6,TF-IDF,True,False,Regresion logistica,0.9003203182516822,0.8955184644819161,0.9130771667357033,0.9040161350197815
6,TF-IDF,True,False,Arboles de decision,0.8978049158518786,0.9057775538329592,0.8948929119660827,0.9001296807630812
6,TF-IDF,True,False,K Vecinos,0.80082501323896,0.7962043317862862,0.8240211008503693,0.8096547551203483
6,TF-IDF,True,False,SVM,0.9251059116799917,0.9192889696126322,0.9368168416948904,0.9278875069180776
7,TF-IDF,False,True,Regresion logistica,0.8629638479521589,0.8564042276421926,0.8816403109086035,0.868702592438862
7,TF-IDF,False,True,Arboles de decision,0.8879325265102102,0.8838046343638721,0.9008308764406324,0.8920925681594344
7,TF-IDF,False,True,K Vecinos,0.7939979075985172,0.7445560199403669,0.9130649837966912,0.8201052214686163
7,TF-IDF,False,True,SVM,0.9073224364852821,0.9040160573566505,0.9176031285787385,0.9106299539991303
8,TF-IDF,True,True,Regresion logistica,0.8798444906552316,0.8706954486877858,0.9004982822055991,0.8851306936752097
8,TF-IDF,True,True,Arboles de decision,0.889004559368663,0.887131448141641,0.8990814063984797,0.8928815653493963
8,TF-IDF,True,True,K Vecinos,0.8060269558141637,0.8023936763643515,0.8268097755902634,0.8143127102895852
8,TF-IDF,True,True,SVM,0.9071445177789546,0.9042801153764222,0.9169013912916352,0.910385314111205
